English word, French word, Frequency
solemn, solennel, 69
daughter, fille, 494
perceive, apercevoir, 103
unworthy, indigne, 36
entertain, divertir, 98
leontes, leontes, 150
request, demande, 85
countess, comtesse, 123
faith, Foi, 464
their, leur, 2108
captain, capitaine, 206
forbid, interdire, 86
shepherd, berger, 145
point, point, 256
general, général, 236
poins, poins, 103
alone, seul, 237
damned, damné, 45
along, le long de, 112
patient, patient, 130
clown, pitre, 355
profit, profit, 65
deserve, mériter, 135
revenge, vengeance, 189
hereafter, "ci-après, 49
clear, clair, 86
encounter, rencontre, 61
enough, assez, 313
claudio, Claudio, 180
kingdom, Royaume, 127
shine, éclat, 109
capitol, Capitole, 43
third, troisième, 247
neither, ni, 186
further, plus loin, 194
visit, visite, 97
denied, refusé, 55
account, Compte, 57
dearest, très cher, 56
sometime, parfois, 138
claud, claud, 307
innocent, innocent, 56
fiery, ardent, 49
bring, apporter, 526
percy, Percy, 87
awake, éveillé, 87
plague, peste, 110
offer, offre, 178
suffer, souffrir, 162
traitor, traitre, 205
finds, trouve, 42
honest, honnête, 406
knowledge, connaissance, 99
afterwards, ensuite, 38
going, Aller, 111
personal, personnel, 237
court, tribunal, 474
whose, dont, 618
former, ancien, 74
entreat, supplier, 159
yonder, là-bas, 74
peace, paix, 556
gaunt, décharné, 78
brother, frère, 734
strong, fort, 279
abuse, abuser de, 76
prove, prouver, 371
hubert, Hubert, 96
bodies, corps, 44
vantage, avantage, 133
comes, vient, 701
search, chercher, 61
servant, serviteur, 543
sudden, soudain, 129
civil, civil, 68
spare, de rechange, 68
charge, charge, 493
business, Entreprise, 236
reverence, révérence, 44
forbear, ancêtre, 65
staff, Personnel, 532
familiar, familier, 47
partly, partiellement, 35
pistol, pistolet, 188
possible, possible, 98
right, droite, 878
lorenzo, Lorenzo, 81
march, Mars, 169
battle, bataille, 146
edmund, Edmund, 77
tells, raconte, 45
answer, répondre, 480
taught, enseigné, 55
thrive, prospérer, 62
desert, désert, 65
under, sous, 678
freely, librement, 55
purse, bourse, 107
dispatch, envoi, 92
beauty, beauté, 233
promise, promettre, 160
thunder, tonnerre, 90
armour, armure, 57
fears, peurs, 77
habit, habitude, 86
margaret, margaret, 210
france, France, 529
train, train, 203
needs, Besoins, 147
which, lequel, 2322
brows, sourcils, 49
image, image, 74
count, compter, 878
emilia, Émilie, 153
feast, le banquet, 132
never, jamais, 1023
knife, couteau, 56
month, mois, 97
fenton, Fenton, 46
piece, pièce, 143
blame, faire des reproches, 94
parts, les pièces, 112
carry, porter, 113
party, fête, 51
frame, Cadre, 55
little, peu, 484
murther, aller plus loin, 122
occasion, occasion, 91
limbs, membres, 49
tears, larmes, 294
rather, plutôt, 323
title, Titre, 121
whore, putain, 104
content, contenu, 270
burden, fardeau, 62
pound, livre, 112
perhaps, peut-être, 45
skill, compétence, 62
trouble, difficulté, 133
company, entreprise, 215
maria, maria, 169
thomas, Thomas, 75
contrary, contraire, 47
outward, vers l'extérieur, 57
prince, prince, 1126
attended, assisté, 46
midnight, minuit, 43
living, vivant, 123
bound, lié, 229
custom, Douane, 72
false, faux, 355
priest, prêtre, 92
permission, autorisation, 225
tyrant, tyran, 70
dinner, dîner, 98
stroke, accident vasculaire cérébral, 64
breed, race, 110
although, bien que, 79
fiend, démon, 82
realm, domaine, 60
avoid, éviter, 52
fresh, Frais, 124
grant, subvention, 152
ransom, une rançon, 66
practice, entraine toi, 56
therein, la bride, 56
divine, Divin, 59
flourish, fleurir, 146
maiden, jeune fille, 78
action, action, 234
fools, imbéciles, 104
dearly, chèrement, 42
french, français, 267
kindness, la gentillesse, 79
crown, couronne, 395
sentence, phrase, 45
issue, problème, 129
large, grand, 104
bounty, prime, 42
satisfied, satisfait, 54
sense, sens, 187
being, étant, 664
protest, manifestation, 67
foolish, insensé, 103
drink, boisson, 218
heavy, lourd, 169
field, champ, 242
curse, malédiction, 182
begin, commencer, 188
become, devenir, 210
rascal, coquin, 90
lawful, légitime, 77
brought, apporté, 196
works, travaux, 250
alive, vivant, 93
thief, voleur, 68
painted, peint, 53
deliver, livrer, 200
tailor, tailleur, 58
neighbour, voisine, 94
summer, été, 100
pandarus, Pandarus, 188
library, bibliothèque, 232
world, monde, 925
known, connu, 233
nurse, infirmière, 218
peril, péril, 65
everything, tout, 42
stand, supporter, 944
leisure, loisir, 68
delight, délice, 86
table, table, 292
together, ensemble, 281
knows, sait, 213
highness, altesse, 189
oberon, Oberon, 45
within, dans, 494
could, pourrait, 654
forward, vers l'avant, 103
change, changement, 246
strike, la grève, 205
health, santé, 120
blest, heureux, 84
bless, bénir, 277
comfort, confort, 254
disposition, disposition, 51
ariel, Ariel, 93
slender, mince, 113
machine, machine, 224
report, rapport, 186
warlike, guerrier, 58
complete, Achevée, 247
return, revenir, 281
constant, constant, 72
conscience, conscience, 127
subject, matière, 172
knees, les genoux, 51
several, nombreuses, 106
angel, ange, 345
office, Bureau, 351
serve, servir, 463
while, tandis que, 437
anger, colère, 365
drown, noyer, 110
second, seconde, 585
smile, sourire, 125
download, Télécharger, 221
falls, des chutes, 82
claim, prétendre, 187
durst, durst, 51
credit, crédit, 73
kneel, s'agenouiller, 116
porter, porter, 52
waste, déchets, 75
brook, ruisseau, 93
citizen, citoyenne, 268
lordship, seigneurie, 128
sooner, plus tôt, 62
bearing, palier, 76
includes, comprend, 223
heart, cœur, 1350
painter, peintre, 45
forget, oublier, 115
hateful, odieux, 39
dream, rêver, 211
proclaim, proclamer, 80
noble, noble, 754
malice, malice, 72
present, présent, 443
since, depuis, 462
behind, derrière, 120
appears, apparaît, 50
stain, tache, 116
breath, souffle, 360
niece, nièce, 65
fight, bats toi, 322
heard, entendu, 364
syracuse, Syracuse, 238
brief, bref, 114
marcius, Marcius, 143
execution, exécution, 69
pretty, jolie, 117
chance, chance, 211
nature, la nature, 412
cross, traverser, 126
constable, gendarme, 90
sought, recherché, 40
cousin, cousin, 287
master, Maître, 991
witness, témoin, 142
wrought, forgé, 43
earth, Terre, 380
lands, terres, 68
quarrel, querelle, 129
duncan, Duncan, 40
breast, Sein, 117
coming, venir, 172
mercy, pitié, 187
cunning, ruse, 81
elbow, coude, 62
about, sur, 415
buried, enterré, 59
commit, commettre, 86
stood, se tenait, 107
pains, des douleurs, 92
sorrow, chagrin, 244
behalf, nom, 46
danger, danger, 224
wolsey, Wolsey, 101
scene, scène, 807
meaning, sens, 64
ignorant, ignorant, 48
above, au dessus, 147
friend, ami, 1017
drawn, tiré, 92
pleasure, plaisir, 258
beaten, battu, 50
myself, moi même, 567
athens, Athènes, 72
ancient, ancien, 82
benefit, avantage, 47
flood, inonder, 59
something, quelque chose, 183
glory, gloire, 89
morning, Matin, 134
quality, qualité, 58
horse, cheval, 335
lords, seigneurs, 594
except, sauf, 60
tarry, goudronneux, 50
device, dispositif, 49
jewel, bijou, 99
believe, croyez, 253
remember, rappelles toi, 200
unless, sauf si, 155
nought, néant, 58
storm, orage, 81
though, bien que, 1395
weary, se lasser, 87
makes, fait du, 360
souls, âmes, 114
launce, lancer, 165
enemies, ennemis, 111
store, boutique, 72
people, gens, 232
valour, valeur, 101
flower, fleur, 103
monster, monstre, 96
single, Célibataire, 64
appear, apparaître, 231
afraid, peur, 41
paulina, paulina, 86
holds, tient, 93
fourth, Quatrième, 51
story, récit, 93
country, pays, 243
commercial, commercial, 442
bishop, évêque, 134
willing, prêt, 94
maids, servantes, 48
project, projet, 254
reputation, réputation, 47
seven, Sept, 94
express, Express, 70
tread, bande de roulement, 57
written, écrit, 35
passion, la passion, 147
beard, barbe, 124
belike, être comme, 42
degree, diplôme, 65
please, S'il vous plaît, 449
bears, ours, 110
talbot, talbot, 175
forces, les forces, 47
valiant, vaillant, 162
farewell, adieu, 355
doing, Faire, 86
knock, frappe, 143
rough, rugueux, 634
father, père, 1157
proper, correct, 100
throne, trône, 75
slain, tué, 127
beast, la bête, 130
bitter, amer, 96
speed, la vitesse, 287
common, commun, 247
themselves, se, 159
wonder, merveille, 165
virtue, vertu, 244
every, chaque, 558
mortal, mortel, 147
prologue, prologue, 43
chaste, chaste, 46
lovely, charmant, 53
figure, figure, 66
madness, la démence, 68
again, encore, 1364
teach, enseigner, 137
commend, saluer, 155
indeed, En effet, 438
stone, calcul, 235
money, argent, 194
dramatis, dramatis, 36
polixenes, polixènes, 84
revolt, révolte, 64
whole, entier, 161
beyond, au-delà, 60
hazard, danger, 47
terms, termes, 75
safety, sécurité, 74
dreadful, horrible, 61
sight, vue, 239
wrath, colère, 73
teeth, les dents, 56
asleep, endormi, 60
proof, preuve, 118
presence, présence, 107
between, entre, 241
still, encore, 588
natural, Naturel, 105
oaths, serments, 87
beggar, mendiant, 125
doors, des portes, 62
itself, lui-même, 240
toward, vers, 177
knowing, connaissance, 53
emperor, empereur, 112
pride, fierté, 112
acquainted, connaissance, 43
force, Obliger, 276
steel, acier, 78
cominius, cominius, 104
tongue, langue, 503
church, église, 100
protector, protecteur, 61
enjoy, prendre plaisir, 71
slander, calomnie, 92
secret, secret, 114
ourselves, nous-mêmes, 188
slave, esclave, 176
confess, avouer, 185
ghost, fantôme, 112
seeing, voyant, 56
counterfeit, contrefaire, 69
course, cours, 253
place, endroit, 525
power, Puissance, 382
finger, doigt, 114
rivers, rivières, 59
repent, se repentir, 77
precious, précieux, 79
suspect, suspect, 53
abide, respecter, 45
brain, cerveau, 154
haste, hâte, 219
opinion, opinion, 97
cease, cesser, 68
soldier, soldat, 491
wings, ailes, 57
cannot, ne peux pas, 762
scarce, rare, 90
first, première, 1175
voice, voix, 213
argument, argument, 78
villain, scélérat, 362
passage, passage, 44
perfect, parfait, 114
utter, prononcer, 121
sirrah, sirrah, 148
sound, du son, 333
chamber, chambre, 220
spite, dépit, 132
plain, plaine, 242
should, devrait, 1716
justice, Justice, 265
depart, partir, 98
readable, lisible, 224
dagger, dague, 57
discover, découvrir, 78
proud, fier, 249
bottom, bas, 110
hector, Hector, 224
enobarbus, énobarbus, 154
coward, lâche, 150
lovers, les amoureux, 61
marcus, Marcus, 138
council, conseil, 58
person, la personne, 453
thrust, poussée, 66
ground, sol, 182
herself, se, 98
repair, réparation, 52
death, décès, 931
purpose, objectif, 261
steal, voler, 130
advice, Conseil, 43
according, selon, 55
winter, hiver, 84
clouds, des nuages, 59
elder, aîné, 50
membership, adhésion, 221
jealous, jaloux, 96
tempest, tempête, 52
paris, Paris, 171
paper, papier, 122
public, Publique, 71
bassianus, bassianus, 45
marriage, mariage, 122
ready, prêt, 294
spend, dépenser, 80
feeble, faible, 43
affairs, affaires, 68
fortune, fortune, 485
motion, mouvement, 113
grave, la tombe, 244
advantage, avantage, 88
match, rencontre, 119
fault, faute, 280
exeter, Exeter, 98
fearful, craintif, 99
follow, suivre, 562
intent, intention, 74
clothes, vêtements, 41
command, commander, 291
round, rond, 282
challenge, défi, 57
intend, avoir l'intention, 97
